problem,mixer,N,p,mean_q,std_q,n_inst,reps,mean_se_binom_sq,se_inst,se_binom,se_total
MaxCut,Grover,8,9,0.00283899999999997,0.0016842304540122042,10,100000.0,2.8283871099999703e-08,0.000532600433929804,0.00016817809340101257,0.000558522240669264
MaxCut,Grover,8,10,0.00125799999999999,0.0008223786637958675,10,100000.0,1.2558087599999898e-08,0.00026005896767207937,0.0001120628734238057,0.0002831761894416046
MaxCut,Grover,8,11,0.00053699999999994,0.00040119405113568234,10,100000.0,5.365667699999401e-09,0.00012686869852988187,7.325071808521334e-05,0.00014649687493822335
MaxCut,Grover,8,12,0.00020699999999997,0.00014900037285560665,10,100000.0,2.0693716999997e-09,4.7118055043804386e-05,4.549034732775405e-05,6.549414333442862e-05
MaxCut,X,4,2,0.4996709999999999,0.002379082222669527,10,100000.0,2.4999479773000003e-06,0.0007523318564451579,0.0015811223789764031,0.0017509857793603632
MaxCut,X,4,3,0.19133499999999998,0.01686650016386855,10,100000.0,1.5446988683e-06,0.005333655667342782,0.0012428591506280992,0.00547654833321845
MaxCut,X,4,4,0.06303999999999997,0.012694200775682311,10,100000.0,5.892092993999998e-07,0.004014258752663228,0.000767599699973886,0.004086989433890592
MaxCut,X,4,5,0.01874099999999998,0.005894815895720941,10,100000.0,1.8358500949999984e-07,0.0018641044617843786,0.0004284682129400031,0.0019127128519316296
MaxCut,X,4,6,0.00522599999999996,0.0022068287956552774,10,100000.0,5.194305839999961e-08,0.0006978605400316973,0.000227910198104428,0.0007341337696451049
MaxCut,X,4,7,0.0013239999999999901,0.0007252922782498645,10,100000.0,1.32177357999999e-08,0.00022935755686021746,0.00011496841218352066,0.0002565592030874897
MaxCut,X,4,8,0.00031799999999998003,0.0001992653172698744,10,100000.0,3.1786313999998e-09,6.301322612488881e-05,5.637935260358884e-05,8.455352190575015e-05
MaxCut,X,4,9,7.999999999997e-05,5.6764621219721396e-05,10,100000.0,7.999069999997002e-10,1.795054935710449e-05,2.828262717640814e-05,3.3498197298086726e-05
