metric,problem,mixer,N,model,weighted_sse,params,perr,best,n_points_fit,include_zeros_in_fit
inc_prop,MaxClique,X,6,power_law,18801.551153674605,0.99999999999999989;3.7583702077351275,0.07584277720377483;0.037399593788784297,False,10,False
inc_prop,MaxClique,X,8,stretched_exp,139.1980837621122,0.99999999999999989;0.23005828388673624;1.7890152344665597,0.054615395580408559;0.020946035005310042;0.048921532337069584,True,11,False
inc_prop,MaxClique,X,8,exp_quadratic,220.2681469639249,0.89757614747709757;0.16422994110036696,0.015514393448994468;0.0015661170651583916,False,11,False
inc_prop,MaxClique,X,8,exp_over_power,3931.498710910691,0.99999999999992839;0.8846361617726568;2.0187723360320541e-13,0.075781463348102651;0.02896760363342438;0.13909580730125462,False,11,False
inc_prop,MaxClique,X,8,exp_decay,3931.4987135846,0.99999999999999989;0.88463834377845929,0.041328154945082608;0.0070485318255778771,False,11,False
inc_prop,MaxClique,X,8,power_law,7949.179876956381,0.99999999999999989;3.9117001190593768,0.13625954295205792;0.063876040898189934,False,11,False
inc_prop,MaxCut,Grover,4,stretched_exp,30.871663203497178,0.99999999999999989;0.24606922900617792;1.6812772135838283,0.11485581182105242;0.049533239051170269;0.10427325749408896,True,11,False
inc_prop,MaxCut,Grover,4,exp_quadratic,52.974154855560904,0.86450118042516966;0.15292726238204687,0.030874882785235924;0.0047507246114505113,False,11,False
inc_prop,MaxCut,Grover,4,exp_decay,1016.4772521884896,0.99999999999999989;0.86826618007084855,0.07385043629776826;0.01158699457418306,False,11,False
inc_prop,MaxCut,Grover,4,exp_over_power,1016.4772532734738,0.99999999999999956;0.8682783641973143;4.3229948307942115e-14,0.14780055023312438;0.062679019954587065;0.32260809492351078,False,11,False
inc_prop,MaxCut,Grover,4,power_law,1995.2956028700141,0.99999999999999989;4.1057130308663954,0.27251565128915506;0.12622391742207328,False,11,False
inc_prop,MaxCut,Grover,6,stretched_exp,11.225493758226524,0.99999999999999989;0.32171115995042937;1.468328307827091,0.1684794436473743;0.073711756239882881;0.10347917324101435,True,11,False
inc_prop,MaxCut,Grover,6,exp_quadratic,44.244816976294125,0.67194820168358071;0.12243554379242273,0.036915772625987775;0.0046751316137068257,False,11,False
inc_prop,MaxCut,Grover,6,exp_over_power,256.0294044019531,0.99999999999998901;0.82358821523763959;1.340227575032618e-13,0.21862626260245668;0.084537952463697552;0.43679336138159597,False,11,False
inc_prop,MaxCut,Grover,6,exp_decay,256.0294044724056,0.99999999999999989;0.82358934809562334,0.11415043133146649;0.016962593145783075,False,11,False
inc_prop,MaxCut,Grover,6,power_law,620.2644853119525,0.99999999999999989;3.8638822937767383,0.40064191147791217;0.18191852370575168,False,11,False
inc_prop,MaxCut,Grover,8,stretched_exp,9.530974081787416,0.99999999999999989;0.31805905615855229;1.4502632198497938,0.19346245534156986;0.090121569321931508;0.1299680831437037,True,11,False
inc_prop,MaxCut,Grover,8,exp_quadratic,29.07195272872892,0.71097990169197234;0.12588640026757841,0.042770348577633469;0.006719248980198946,False,11,False
inc_prop,MaxCut,Grover,8,exp_decay,198.7799212191481,0.99999999999999989;0.76333499486967182,0.10419763042092953;0.01708140746423668,False,11,False
inc_prop,MaxCut,Grover,8,exp_over_power,198.77992124431316,0.99999999999999423;0.76333903363065714;3.5932134918436861e-14,0.20853369055861554;0.087132000159006129;0.44877852231533083,False,11,False
inc_prop,MaxCut,Grover,8,power_law,527.0371453728013,0.99999999999999989;3.559471275704416,0.32417121150390121;0.15336466576529739,False,11,False
inc_prop,MaxCut,X,4,stretched_exp,74.04813598119827,0.99999999999999989;0.18486870987018966;1.9142826508525803,0.059869452741903403;0.026391704311432448;0.08391846985345694,True,10,False
inc_prop,MaxCut,X,4,exp_quadratic,84.38414175510702,0.97815336792792495;0.16806088218829629,0.012835546662304862;0.0030540076458322376,False,10,False
inc_prop,MaxCut,X,4,exp_over_power,30563.37528485638,0.99999999999999989;0.76591050347145762;4.030679621819751e-19,0.030152505032802188;0.019013174372268255;0.093211076354839703,False,10,False
inc_prop,MaxCut,X,4,exp_decay,30563.375321466498,0.99999999999999989;0.76593579572621406,0.010775160665307398;0.0021864634901809627,False,10,False
inc_prop,MaxCut,X,4,power_law,58222.28594158026,0.99999999999999989;3.3855612017931249,0.026671403008554324;0.014546992608476418,False,10,False
inc_prop,MaxCut,X,6,stretched_exp,105.0572640303805,0.99999999999999989;0.22443194547236797;1.7547835030803982,0.055385176026231768;0.023617351474907688;0.057204811561710846,True,11,False
inc_prop,MaxCut,X,6,exp_quadratic,174.98623861130815,0.88533195997711356;0.15375691812332992,0.013942282091301708;0.0019802325179111712,False,11,False
inc_prop,MaxCut,X,6,exp_over_power,4501.122173481198,0.99999999999999989;0.82108922560219888;2.8884665968747546e-16,0.060026122590880616;0.026188737342032427;0.12900853209728563,False,11,False
inc_prop,MaxCut,X,6,exp_decay,4501.122174011107,0.99999999999999989;0.82108949304546019,0.031791317222921958;0.0055523957090909274,False,11,False
inc_prop,MaxCut,X,6,power_law,9256.993811885292,0.99999999999999989;3.7711386655506924,0.10075662071331616;0.048552216955847743,False,11,False
inc_prop,MaxCut,X,8,stretched_exp,96.65662074582944,0.99999999999999989;0.24835314647902337;1.6259048155234495,0.059900519596167281;0.02582779457460059;0.053198322837022631,True,11,False
inc_prop,MaxCut,X,8,exp_quadratic,214.06678703576563,0.8085560984279847;0.13401325712569384,0.01460453595870337;0.0018592103979544296,False,11,False
