problem,mixer,N,p,mean_q,std_q,n_inst,reps,mean_se_binom_sq,se_inst,se_binom,se_total
MaxClique,X,6,9,3.9e-05,2.685351208149711e-05,10,100000.0,3.8997829999999996e-10,8.491826135237999e-06,1.9747868239382194e-05,2.14962650502619e-05
MaxClique,X,6,10,9e-06,1.286683937707919e-05,10,100000.0,8.999769999999999e-11,4.068851871911234e-06,9.486711759087023e-06,1.0322463637889723e-05
MaxClique,X,6,11,2.0000000000000003e-06,4.216370213557839e-06,10,100000.0,1.99998e-11,1.3333333333333332e-06,4.472113594263902e-06,4.666645238046039e-06
MaxClique,X,6,12,0.0,0.0,10,100000.0,0.0,0.0,0.0,1e-16
MaxClique,X,8,2,0.5021209999999999,0.02089623488148576,10,100000.0,2.4960251398999998e-06,0.006607969674735366,0.0015798813689324905,0.006794209914487645
MaxClique,X,8,3,0.18168699999999996,0.012057351883578904,10,100000.0,1.4854599226999998e-06,0.0038128694502230693,0.001218794454655911,0.004002928099172451
MaxClique,X,8,4,0.05642799999999996,0.004592357903203022,10,100000.0,5.322490003999996e-07,0.0014522310804796616,0.0007295539736030499,0.0016251843315486171
MaxClique,X,8,5,0.01602399999999999,0.0015738078380510888,10,100000.0,1.576500223999999e-07,0.0004976817367666852,0.00039705166212975347,0.0006366609250700911
MaxClique,X,8,6,0.00424699999999993,0.0004942570181595598,10,100000.0,4.22874312999993e-08,0.0001562977926907413,0.00020563908018662042,0.0002582952405678379
MaxClique,X,8,7,0.0011149999999999802,0.0001727072024490647,10,100000.0,1.11372992999998e-08,5.461481280548549e-05,0.00010553340371654749,0.00011882793054571816
MaxClique,X,8,8,0.00028599999999998,6.095535707019833e-05,10,100000.0,2.8591485999998e-09,1.9275776393067483e-05,5.347100709730274e-05,5.68392835594832e-05
MaxClique,X,8,9,6.7e-05,2.2632326929023942e-05,10,100000.0,6.699505000000001e-10,7.156970184527963e-06,2.5883402017509214e-05,2.685465922744547e-05
MaxClique,X,8,10,1.7e-05,1.1595018087284058e-05,10,100000.0,1.699959e-10,3.6666666666666666e-06,1.303824758163458e-05,1.3544015078419119e-05
MaxClique,X,8,11,4.000000000000001e-06,6.992058987801011e-06,10,100000.0,3.99994e-11,2.211083193570267e-06,6.324507885993977e-06,6.699872303924075e-06
MaxClique,X,8,12,2.0000000000000003e-06,4.216370213557839e-06,10,100000.0,1.99998e-11,1.3333333333333332e-06,4.472113594263902e-06,4.666645238046039e-06
MaxCut,Grover,4,2,0.487338,0.035777608702153976,10,100000.0,2.486876402e-06,0.011313873273306732,0.001576983323310681,0.011423248436694546
MaxCut,Grover,4,3,0.189486,0.030294681674805223,10,100000.0,1.5275506484e-06,0.009580019508214892,0.0012359411994103927,0.009659416360535347
MaxCut,Grover,4,4,0.06675299999999998,0.02045935702802022,10,100000.0,6.192031022999999e-07,0.006469816767111726,0.0007868945941484157,0.00651749431164309
MaxCut,Grover,4,5,0.02186399999999997,0.010271152915920494,10,100000.0,2.1291018579999972e-07,0.0032480237410188687,0.00046142191733813395,0.0032806353665139633
MaxCut,Grover,4,6,0.006803999999999979,0.0042293056955801465,10,100000.0,6.74160725999998e-08,0.0013374238919155986,0.00025964605254076133,0.001362394487388534
MaxCut,Grover,4,7,0.00212899999999999,0.0015629775714606177,10,100000.0,2.1222687499999903e-08,0.0004942569057574137,0.00014568008614769523,0.0005152791247361888
MaxCut,Grover,4,8,0.000628,0.0005089378918667559,10,100000.0,6.273725e-09,0.00016094029258634324,7.92068494512943e-05,0.0001793753126207109
MaxCut,Grover,4,9,0.00020399999999996,0.00017708754896939637,10,100000.0,2.0393015999996003e-09,5.5999999999989604e-05,4.515862708275796e-05,7.193956908404745e-05
MaxCut,Grover,4,10,5.599999999999999e-05,4.695151163109069e-05,10,100000.0,5.599488e-10,1.484737163421339e-05,2.3663237310224484e-05,2.7935519405309872e-05
MaxCut,Grover,4,11,1e-05,1.3333333333333335e-05,10,100000.0,9.999739999999999e-11,4.216370213557839e-06,9.999869999154988e-06,1.0852427275857589e-05
MaxCut,Grover,4,12,1.0000000000000002e-06,3.1622776601683796e-06,10,100000.0,9.9999e-12,1e-06,3.1622618487405498e-06,3.316609714753908e-06
