problem,mixer,N,p,mean_q,std_q,n_inst,reps,mean_se_binom_sq,se_inst,se_binom,se_total
MaxClique,X,6,3,0.349614,0.006632286684595784,10,100000.0,2.2734446249999997e-06,0.0020973132018529453,0.001507794622951017,0.0025830538692924415
MaxClique,X,6,4,0.10087499999999996,0.004598442369131365,10,100000.0,9.068020326999997e-07,0.001454155157547587,0.0009522615358713171,0.0017382086338878445
MaxClique,X,6,5,0.02556499999999992,0.0019098705598954659,10,100000.0,2.490814792999992e-07,0.0006039541005370706,0.0004990806340662791,0.0007834807176028911
MaxClique,X,6,6,0.00596599999999989,0.0006865728091194644,10,100000.0,5.929982599999892e-08,0.00021711338563575313,0.0002435155559712745,0.00032624844554758907
MaxClique,X,6,7,0.00137999999999995,0.0002929163703175704,10,100000.0,1.3780183799999503e-08,9.26282894152861e-05,0.00011738902759627708,0.00014953321972057415
MaxClique,X,6,8,0.00028999999999998005,7.803133273815078e-05,10,100000.0,2.8991041999998004e-09,2.467567403110197e-05,5.384333013475114e-05,5.9228313236905546e-05
MaxClique,X,6,9,6.3e-05,4.0290610982378184e-05,10,100000.0,6.299457e-10,1.2741009902410928e-05,2.5098719090822145e-05,2.8147451631246002e-05
MaxClique,X,6,10,1.4000000000000001e-05,1.837873166945363e-05,10,100000.0,1.39995e-10,5.8118652580542315e-06,1.183194827574901e-05,1.3182290308507765e-05
MaxClique,X,6,11,4.000000000000001e-06,8.432740427115678e-06,10,100000.0,3.99992e-11,2.6666666666666664e-06,6.324492074467324e-06,6.86369514992552e-06
MaxClique,X,6,12,0.0,0.0,10,100000.0,0.0,0.0,0.0,1e-16
MaxClique,X,8,2,0.9999999999999998,9.064933036736789e-17,10,100000.0,1.1102230246251563e-21,2.866583523299505e-17,3.3320009373125277e-11,3.332000937313761e-11
MaxClique,X,8,3,0.3553969999999999,0.0089909967930888,10,100000.0,2.2901721816999998e-06,0.0028432028301430255,0.0015133314844078278,0.0032208654916083207
MaxClique,X,8,4,0.10749299999999992,0.006601521794253173,10,100000.0,9.589903286999996e-07,0.0020875844893081482,0.0009792805158380308,0.0023058619491851547
MaxClique,X,8,5,0.029513999999999964,0.003376619611386498,10,100000.0,2.863266239999996e-07,0.0010677808763973956,0.0005350949672721652,0.0011943544800435044
MaxClique,X,8,6,0.007640999999999889,0.0011154416165806405,10,100000.0,7.581495329999892e-08,0.0003527336105335062,0.00027534515303523853,0.000447477321548257
MaxClique,X,8,7,0.00191699999999992,0.00034833094098062897,10,100000.0,1.9132159099999204e-08,0.00011015191530084732,0.00013831904821823784,0.00017682082327724936
MaxClique,X,8,8,0.00046299999999991,0.00011165920373068793,10,100000.0,4.6277440999991005e-09,3.5309740550974415e-05,6.8027524576447e-05,7.664542959483121e-05
MaxClique,X,8,9,0.000109,3.4140233677518316e-05,10,100000.0,1.0898707e-09,1.0796089827134432e-05,3.3013189788325515e-05,3.473364731144076e-05
MaxClique,X,8,10,2.9e-05,1.6633299933166202e-05,10,100000.0,2.899891e-10,5.259911279353167e-06,1.7029066327899484e-05,1.7822900063308068e-05
MaxClique,X,8,11,7.000000000000001e-06,8.232726023485645e-06,10,100000.0,6.99989e-11,2.603416558635551e-06,8.366534527508985e-06,8.762230182880257e-06
MaxClique,X,8,12,2.0000000000000003e-06,4.216370213557839e-06,10,100000.0,1.99998e-11,1.3333333333333332e-06,4.472113594263902e-06,4.666645238046039e-06
MaxCut,Grover,4,2,0.9999889999999999,1.5951314818668568e-05,10,100000.0,1.099965000007206e-10,5.044248650138843e-06,1.0487921624455466e-05,1.1637909797087625e-05
MaxCut,Grover,4,3,0.39934699999999995,0.04589499296098531,10,100000.0,2.3797325825e-06,0.014513271095410885,0.0015426381891098118,0.01459502553856584
MaxCut,Grover,4,4,0.14388799999999996,0.038711647342886346,10,100000.0,1.2183551097999997e-06,0.01224169775807261,0.0011037912437594347,0.012291359530572685
MaxCut,Grover,4,5,0.04812899999999994,0.02032625639139898,10,100000.0,4.544075832999996e-07,0.006427726650137573,0.0006740976066564839,0.00646297744636238
MaxCut,Grover,4,6,0.01553299999999995,0.008653573507195991,10,100000.0,1.5224330009999952e-07,0.0027365002182430814,0.00039018367482507456,0.0027641774082978886
MaxCut,Grover,4,7,0.00486299999999994,0.0031501606660966374,10,100000.0,4.830420069999941e-08,0.0009961682700338538,0.00021978216647398717,0.0010201251996310259
MaxCut,Grover,4,8,0.00144599999999999,0.0010314412785569053,10,100000.0,1.44295159999999e-08,0.0003261703712956012,0.00012012292037741965,0.00034758686268486933
MaxCut,Grover,4,9,0.00043999999999994,0.000334697209761587,10,100000.0,4.3970557999994e-09,0.00010584055093497566,6.631029935085047e-05,0.00012489706971029616
MaxCut,Grover,4,10,0.00010799999999999001,7.969385867875866e-05,10,100000.0,1.0798261999999001e-09,2.520141089524544e-05,3.286070906112496e-05,4.141180159218983e-05
MaxCut,Grover,4,11,2.1000000000000002e-05,1.8529256146249727e-05,10,100000.0,2.0999249999999999e-10,5.859465277082314e-06,1.4491117969294156e-05,1.563092554308072e-05
MaxCut,Grover,4,12,6.000000000000001e-06,6.99205898780101e-06,10,100000.0,5.999919999999999e-11,2.2110831935702664e-06,7.74591505246475e-06,8.055314325890015e-06
MaxCut,Grover,6,2,0.9995869999999998,0.0008693298824062765,10,100000.0,4.121492700000854e-09,0.00027490624664501724,6.41988527934951e-05,0.00028230291735023197
MaxCut,Grover,6,3,0.459476,0.009955080445012343,10,100000.0,2.4826861216e-06,0.003148072849644162,0.0015756541884563377,0.0035203762282271355
MaxCut,Grover,6,4,0.20100299999999996,0.011486186921689892,10,100000.0,1.6048205474999997e-06,0.0036322512302978146,0.0012668151196997925,0.003846825905535626
MaxCut,Grover,6,5,0.08439799999999992,0.009469242372603551,10,100000.0,7.719427769999993e-07,0.002994437361360403,0.0008786027412886892,0.0031206726659665945
MaxCut,Grover,6,6,0.03402299999999994,0.006280806830690181,10,100000.0,3.2829931789999946e-07,0.0019861655128524517,0.0005729740988037762,0.0020671605555312926
