problem,representation,sense,mixer,N,p,instance_seed,angle_seed,reps,tol,sample_from_periods,canonicalize,beta_period,gamma_period,inc_count,dec_count,other_count,inc_prop,dec_prop,inc_se_binom,dec_se_binom
MaxCut,pairwise Ising / graph cut,maximize cut value,Grover,4,9,6,22264333,100000,1.000e-12,true,false,6.2831853071795862,6.2831853071795862,29,34,99937,0.00029,0.00034000000000000002,5.3843839016177145e-05,5.8299605487515952e-05
MaxCut,pairwise Ising / graph cut,maximize cut value,Grover,4,10,6,22264333,100000,1.000e-12,true,false,6.2831853071795862,6.2831853071795862,6,12,99982,6.0000000000000002e-05,0.00012,2.4494162569885914e-05,3.4638937628050894e-05
MaxCut,pairwise Ising / graph cut,maximize cut value,Grover,4,11,6,22264333,100000,1.000e-12,true,false,6.2831853071795862,6.2831853071795862,0,4,99996,0,4.0000000000000003e-05,0,1.9999599995999918e-05
MaxCut,pairwise Ising / graph cut,maximize cut value,Grover,4,12,6,22264333,100000,1.000e-12,true,false,6.2831853071795862,6.2831853071795862,0,1,99999,0,1.0000000000000001e-05,0,9.999949999874999e-06
MaxCut,pairwise Ising / graph cut,maximize cut value,X,4,2,7,22264334,100000,1.000e-12,true,false,3.1415926535897931,6.2831853071795862,50187,49813,0,0.50187000000000004,0.49813000000000002,0.0015811277718767703,0.0015811277718767703
MaxCut,pairwise Ising / graph cut,maximize cut value,X,4,3,7,22264334,100000,1.000e-12,true,false,3.1415926535897931,6.2831853071795862,16665,16778,66557,0.16664999999999999,0.16778000000000001,0.0011784641594040949,0.001181650843523585
MaxCut,pairwise Ising / graph cut,maximize cut value,X,4,4,7,22264334,100000,1.000e-12,true,false,3.1415926535897931,6.2831853071795862,4299,4456,91245,0.04299,0.044560000000000002,0.00064141920691541509,0.00065249066200214704
MaxCut,pairwise Ising / graph cut,maximize cut value,X,4,5,7,22264334,100000,1.000e-12,true,false,3.1415926535897931,6.2831853071795862,952,1033,98015,0.0095200000000000007,0.010330000000000001,0.00030707278615989405,0.00031973881684900258
MaxCut,pairwise Ising / graph cut,maximize cut value,X,4,6,7,22264334,100000,1.000e-12,true,false,3.1415926535897931,6.2831853071795862,206,214,99580,0.0020600000000000002,0.00214,0.00014337909192068418,0.00014613077704576816
MaxCut,pairwise Ising / graph cut,maximize cut value,X,4,7,7,22264334,100000,1.000e-12,true,false,3.1415926535897931,6.2831853071795862,45,31,99924,0.00044999999999999999,0.00031,6.7066944167749285e-05,5.5669012924606445e-05
MaxCut,pairwise Ising / graph cut,maximize cut value,X,4,8,7,22264334,100000,1.000e-12,true,false,3.1415926535897931,6.2831853071795862,8,8,99984,8.0000000000000007e-05,8.0000000000000007e-05,2.8283139853983683e-05,2.8283139853983683e-05
MaxCut,pairwise Ising / graph cut,maximize cut value,X,4,9,7,22264334,100000,1.000e-12,true,false,3.1415926535897931,6.2831853071795862,1,1,99998,1.0000000000000001e-05,1.0000000000000001e-05,9.999949999874999e-06,9.999949999874999e-06
MaxCut,pairwise Ising / graph cut,maximize cut value,X,4,10,7,22264334,100000,1.000e-12,true,false,3.1415926535897931,6.2831853071795862,0,1,99999,0,1.0000000000000001e-05,0,9.999949999874999e-06
MaxCut,pairwise Ising / graph cut,maximize cut value,X,4,11,7,22264334,100000,1.000e-12,true,false,3.1415926535897931,6.2831853071795862,0,0,100000,0,0,0,0
MaxCut,pairwise Ising / graph cut,maximize cut value,X,4,12,7,22264334,100000,1.000e-12,true,false,3.1415926535897931,6.2831853071795862,0,0,100000,0,0,0,0
MaxCut,pairwise Ising / graph cut,maximize cut value,Grover,4,2,7,22264334,100000,1.000e-12,true,false,6.2831853071795862,6.2831853071795862,49958,50042,0,0.49958000000000002,0.50041999999999998,0.001581138272258312,0.001581138272258312
MaxCut,pairwise Ising / graph cut,maximize cut value,Grover,4,3,7,22264334,100000,1.000e-12,true,false,6.2831853071795862,6.2831853071795862,16613,16768,66619,0.16613,0.16768,0.001176991177112216,0.0011813696187053398
MaxCut,pairwise Ising / graph cut,maximize cut value,Grover,4,4,7,22264334,100000,1.000e-12,true,false,6.2831853071795862,6.2831853071795862,4601,4492,90907,0.046010000000000002,0.044920000000000002,0.00066251852728810539,0.0006549976610645263
MaxCut,pairwise Ising / graph cut,maximize cut value,Grover,4,5,7,22264334,100000,1.000e-12,true,false,6.2831853071795862,6.2831853071795862,1020,1014,97966,0.010200000000000001,0.01014,0.00031774140428971484,0.00031681509433737528
MaxCut,pairwise Ising / graph cut,maximize cut value,Grover,4,6,7,22264334,100000,1.000e-12,true,false,6.2831853071795862,6.2831853071795862,198,199,99603,0.00198,0.00199,0.00014057309842213767,0.00014092692787398724
MaxCut,pairwise Ising / graph cut,maximize cut value,Grover,4,7,7,22264334,100000,1.000e-12,true,false,6.2831853071795862,6.2831853071795862,35,47,99918,0.00035,0.00046999999999999999,5.9150443785317456e-05,6.8540433322236889e-05
MaxCut,pairwise Ising / graph cut,maximize cut value,Grover,4,8,7,22264334,100000,1.000e-12,true,false,6.2831853071795862,6.2831853071795862,5,4,99991,5.0000000000000002e-05,4.0000000000000003e-05,2.2360120751015635e-05,1.9999599995999918e-05
MaxCut,pairwise Ising / graph cut,maximize cut value,Grover,4,9,7,22264334,100000,1.000e-12,true,false,6.2831853071795862,6.2831853071795862,1,0,99999,1.0000000000000001e-05,0,9.999949999874999e-06,0
MaxCut,pairwise Ising / graph cut,maximize cut value,Grover,4,10,7,22264334,100000,1.000e-12,true,false,6.2831853071795862,6.2831853071795862,0,0,100000,0,0,0,0
MaxCut,pairwise Ising / graph cut,maximize cut value,Grover,4,11,7,22264334,100000,1.000e-12,true,false,6.2831853071795862,6.2831853071795862,0,0,100000,0,0,0,0
MaxCut,pairwise Ising / graph cut,maximize cut value,Grover,4,12,7,22264334,100000,1.000e-12,true,false,6.2831853071795862,6.2831853071795862,0,0,100000,0,0,0,0
MaxCut,pairwise Ising / graph cut,maximize cut value,X,4,2,8,22264335,100000,1.000e-12,true,false,3.1415926535897931,6.2831853071795862,49993,50007,0,0.49992999999999999,0.50007000000000001,0.0015811388145890292,0.0015811388145890292
MaxCut,pairwise Ising / graph cut,maximize cut value,X,4,3,8,22264335,100000,1.000e-12,true,false,3.1415926535897931,6.2831853071795862,19829,19994,60177,0.19828999999999999,0.19994000000000001,0.001260837324558565,0.0012647687393353775
MaxCut,pairwise Ising / graph cut,maximize cut value,X,4,4,8,22264335,100000,1.000e-12,true,false,3.1415926535897931,6.2831853071795862,6880,7060,86060,0.0688,0.070599999999999996,0.0008004158918962067,0.00081003481406665475
MaxCut,pairwise Ising / graph cut,maximize cut value,X,4,5,8,22264335,100000,1.000e-12,true,false,3.1415926535897931,6.2831853071795862,2175,2226,95599,0.021749999999999999,0.022259999999999999,0.00046126930853894888,0.00046652430161782567
MaxCut,pairwise Ising / graph cut,maximize cut value,X,4,6,8,22264335,100000,1.000e-12,true,false,3.1415926535897931,6.2831853071795862,659,638,98703,0.0065900000000000004,0.0063800000000000003,0.0002558626956005897,0.00025177957820283998
MaxCut,pairwise Ising / graph cut,maximize cut value,X,4,7,8,22264335,100000,1.000e-12,true,false,3.1415926535897931,6.2831853071795862,178,178,99644,0.0017799999999999999,0.0017799999999999999,0.0001332978469443524,0.0001332978469443524
MaxCut,pairwise Ising / graph cut,maximize cut value,X,4,8,8,22264335,100000,1.000e-12,true,false,3.1415926535897931,6.2831853071795862,50,51,99899,0.00050000000000000001,0.00051000000000000004,7.0692998238863796e-05,7.1396071320486537e-05
MaxCut,pairwise Ising / graph cut,maximize cut value,X,4,9,8,22264335,100000,1.000e-12,true,false,3.1415926535897931,6.2831853071795862,12,11,99977,0.00012,0.00011,3.4638937628050894e-05,3.3164423709752596e-05
MaxCut,pairwise Ising / graph cut,maximize cut value,X,4,10,8,22264335,100000,1.000e-12,true,false,3.1415926535897931,6.2831853071795862,3,2,99995,3.0000000000000001e-05,2.0000000000000002e-05,1.7320248266119051e-05,1.4141994201667599e-05
MaxCut,pairwise Ising / graph cut,maximize cut value,X,4,11,8,22264335,100000,1.000e-12,true,false,3.1415926535897931,6.2831853071795862,0,0,100000,0,0,0,0
MaxCut,pairwise Ising / graph cut,maximize cut value,X,4,12,8,22264335,100000,1.000e-12,true,false,3.1415926535897931,6.2831853071795862,0,0,100000,0,0,0,0
MaxCut,pairwise Ising / graph cut,maximize cut value,Grover,4,2,8,22264335,100000,1.000e-12,true,false,6.2831853071795862,6.2831853071795862,49775,50224,1,0.49775000000000003,0.50224000000000002,0.0015811228209724885,0.0015811229629601868
MaxCut,pairwise Ising / graph cut,maximize cut value,Grover,4,3,8,22264335,100000,1.000e-12,true,false,6.2831853071795862,6.2831853071795862,21072,21639,57289,0.21071999999999999,0.21639,0.0012896398008746474,0.0013021726763375126
MaxCut,pairwise Ising / graph cut,maximize cut value,Grover,4,4,8,22264335,100000,1.000e-12,true,false,6.2831853071795862,6.2831853071795862,8375,8632,82993,0.083750000000000005,0.086319999999999994,0.00087599051079335335,0.00088808140167441854
MaxCut,pairwise Ising / graph cut,maximize cut value,Grover,4,5,8,22264335,100000,1.000e-12,true,false,6.2831853071795862,6.2831853071795862,3040,3139,93821,0.0304,0.031390000000000001,0.00054291656817599513,0.00055140427909112198
MaxCut,pairwise Ising / graph cut,maximize cut value,Grover,4,6,8,22264335,100000,1.000e-12,true,false,6.2831853071795862,6.2831853071795862,1054,1123,97823,0.010540000000000001,0.01123,0.00032293820461506257,0.00033322495554805016
MaxCut,pairwise Ising / graph cut,maximize cut value,Grover,4,7,8,22264335,100000,1.000e-12,true,false,6.2831853071795862,6.2831853071795862,370,356,99274,0.0037000000000000002,0.0035599999999999998,0.0001919976562356947,0.00018834347347333275
MaxCut,pairwise Ising / graph cut,maximize cut value,Grover,4,8,8,22264335,100000,1.000e-12,true,false,6.2831853071795862,6.2831853071795862,115,111,99774,0.00115,0.0011100000000000001,0.00010717637332919975,0.00010529804841496352
MaxCut,pairwise Ising / graph cut,maximize cut value,Grover,4,9,8,22264335,100000,1.000e-12,true,false,6.2831853071795862,6.2831853071795862,37,36,99927,0.00036999999999999999,0.00036000000000000002,6.0816371151195791e-05,5.9989199027825001e-05
MaxCut,pairwise Ising / graph cut,maximize cut value,Grover,4,10,8,22264335,100000,1.000e-12,true,false,6.2831853071795862,6.2831853071795862,11,6,99983,0.00011,6.0000000000000002e-05,3.3164423709752596e-05,2.4494162569885914e-05
