problem,mixer,N,p,instance_seed,angle_seed,reps,tol,canonicalize,inc_count,dec_count,other_count,inc_prop,dec_prop,inc_se_binom,dec_se_binom
SK,X,5,5,3,21260230,100000,1.000e-12,false,2861,2773,94366,0.02861,0.027730000000000001,0.00052717613659952398,0.0005192402825282338
SK,X,5,6,3,21260230,100000,1.000e-12,false,896,929,98175,0.0089599999999999992,0.0092899999999999996,0.0002979885635389385,0.00030337593675174701
SK,X,5,7,3,21260230,100000,1.000e-12,false,289,288,99423,0.0028900000000000002,0.0028800000000000002,0.00016975417226094917,0.00016946107517657263
SK,X,5,8,3,21260230,100000,1.000e-12,false,83,83,99834,0.00083000000000000001,0.00083000000000000001,9.1066519643609974e-05,9.1066519643609974e-05
SK,X,5,9,3,21260230,100000,1.000e-12,false,32,30,99938,0.00032000000000000003,0.00029999999999999997,5.6559490803931397e-05,5.476403929587371e-05
SK,X,5,10,3,21260230,100000,1.000e-12,false,7,11,99982,6.9999999999999994e-05,0.00011,2.6456587081481237e-05,3.3164423709752596e-05
SK,X,5,11,3,21260230,100000,1.000e-12,false,2,3,99995,2.0000000000000002e-05,3.0000000000000001e-05,1.4141994201667599e-05,1.7320248266119051e-05
SK,X,5,12,3,21260230,100000,1.000e-12,false,1,2,99997,1.0000000000000001e-05,2.0000000000000002e-05,9.999949999874999e-06,1.4141994201667599e-05
SK,X,5,13,3,21260230,100000,1.000e-12,false,0,0,100000,0,0,0,0
SK,X,5,14,3,21260230,100000,1.000e-12,false,0,0,100000,0,0,0,0
SK,X,5,15,3,21260230,100000,1.000e-12,false,0,0,100000,0,0,0,0
SK,X,5,16,3,21260230,100000,1.000e-12,false,0,0,100000,0,0,0,0
SK,X,5,17,3,21260230,100000,1.000e-12,false,0,0,100000,0,0,0,0
SK,X,5,18,3,21260230,100000,1.000e-12,false,0,0,100000,0,0,0,0
SK,X,5,19,3,21260230,100000,1.000e-12,false,0,0,100000,0,0,0,0
SK,X,5,20,3,21260230,100000,1.000e-12,false,0,0,100000,0,0,0,0
SK,Grover,5,2,3,21260230,100000,1.000e-12,false,49947,50053,0,0.49947000000000003,0.50053000000000003,0.0015811379418001453,0.0015811379418001453
SK,Grover,5,3,3,21260230,100000,1.000e-12,false,23715,23838,52447,0.23715,0.23838000000000001,0.0013450274253709476,0.0013474233766711931
SK,Grover,5,4,3,21260230,100000,1.000e-12,false,10136,11623,78241,0.10136000000000001,0.11623,0.00095439064538583988,0.0010135116531150492
SK,Grover,5,5,3,21260230,100000,1.000e-12,false,4131,5703,90166,0.041309999999999999,0.057029999999999997,0.00062931298969590643,0.00073333197871086999
SK,Grover,5,6,3,21260230,100000,1.000e-12,false,1684,2751,95565,0.016840000000000001,0.02751,0.00040689574094600697,0.00051723495531528032
